,cand_id,country,endMonth,endYear,name,startMonth,startYear
0,3346.0,,Present,Present,b'esl',,
1,3346.0,,Present,2003,b'Beijing Insititute of Technology',,2000.0
2,3346.0,,Present,2000,b'Hangzhou Institute of  Commerce',,1996.0
0,3349.0,,Present,Present,"b""Queen's University""",,
1,3349.0,,Present,Present,b'Carleton University',,
2,3349.0,,Present,Present,"b""Queen's University""",,
3,3349.0,,Present,Present,b'Carleton University',,
0,3350.0,,Present,Present,b'China University of Mining and Technology',,
1,3350.0,,Present,1993,b'China University of Mining and Technology',,1989.0
2,3350.0,,Present,1996,b'Chongqing University of Posts and Telecommunications',,1993.0
3,3350.0,,Present,Present,b'Mianzhu Middle school',,
0,3354.0,,Present,Present,b'British Columbia Institute of Technology',,
1,3354.0,,Present,2004,b'British Columbia Institute of Technology',,2002.0
0,3355.0,,Present,Present,b'University of Toronto - University College',,
1,3355.0,,Present,Present,b'University of Toronto',,
2,3355.0,,Present,1998,b'University of Toronto - University College',,1994.0
3,3355.0,,Present,1998,b'University of Toronto',,1994.0
0,3357.0,,Present,Present,"b""Escuela Colombiana de Ingenier\xc3\x83\xc2\xada 'Julio Garavito'""",,
1,3357.0,,Present,Present,b'Universidad de Los Andes',,
2,3357.0,,Present,2004,b'Universidad de Los Andes',,2003.0
3,3357.0,,Present,2000,"b""Escuela Colombiana de Ingenier\xc3\x83\xc2\xada 'Julio Garavito'""",,1995.0
0,3366.0,,Present,Present,b'\xc3\x83\xc2\x89cole de technologie sup\xc3\x83\xc2\xa9rieure',,
1,3366.0,,Present,2011,b'Universit\xc3\x83\xc2\xa9 du Qu\xc3\x83\xc2\xa9bec - Ecole de Technologie sup\xc3\x83\xc2\xa9rieure',,2006.0
2,3366.0,,Present,2006,b'Coll\xc3\x83\xc2\xa8ge G\xc3\x83\xc2\xa9rald-Godin',,2003.0
0,3369.0,,Present,Present,b'Universit\xc3\x83\xc2\xa9 de Montr\xc3\x83\xc2\xa9al',,
1,3369.0,,Present,2004,b'Universit\xc3\x83\xc2\xa9 de Montr\xc3\x83\xc2\xa9al',,2001.0
0,3375.0,,Present,Present,b'\xc3\x83\xc2\x89cole Pratique des Hautes \xc3\x83\xc2\x89tudes',,
1,3375.0,,Present,Present,b'Universit\xc3\x83\xc2\xa9 de Reims Champagne-Ardenne',,
2,3375.0,,Present,2008,b'Ecole pratique des Hautes Etudes',,2007.0
3,3375.0,,Present,2012,b'Universit\xc3\x83\xc2\xa9 Pierre et Marie Curie (Paris VI)',,2009.0
4,3375.0,,Present,2007,b'Universit\xc3\x83\xc2\xa9 de Reims Champagne-Ardenne',,2006.0
0,3377.0,,Present,1996,"b'University of Management, Simferopol, Ukraine'",,1995.0
0,3378.0,,Present,1978,b'The Solid State Physics  Institute. USSR Academy of Science.Chernogolovka. Moscow.',,1976.0
1,3378.0,,Present,1976,b'The Moscow State University.',,1973.0
2,3378.0,,Present,1973,b'The Moscow Steel and Alloys Institute.',,1969.0
0,3381.0,,Present,Present,b'The Catholic University of Korea',,
1,3381.0,,Present,1998,b'The Catholic University of Korea',,1993.0
0,3382.0,,Present,Present,b'British Columbia Institute of Technology',,
1,3382.0,,Present,Present,b'The University of Lethbridge',,
2,3382.0,,Present,Present,b'University of Calgary',,
3,3382.0,,Present,2010,b'BCIT',,2010.0
4,3382.0,,8,1995,b'University of Lethbridge',9.0,1991.0
5,3382.0,,8,1997,b'University of Calgary',9.0,1995.0
0,3383.0,,Present,Present,b'University of Waterloo',,
1,3383.0,,Present,1996,b'University of Waterloo',,1990.0
