,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
3,626.0,US,12,2013,San Francisco,estorm international,9.0,2013.0
4,626.0,US,Present,Present,San Francisco Bay Area,Chegg Inc.,4.0,2016.0
0,627.0,US,12,2016,San Francisco Bay Area,Chubbies Shorts,11.0,2015.0
1,627.0,ES,5,2013,"Barcelona Area, Spain",Freelance Writer,1.0,2012.0
2,627.0,US,Present,Present,,"PAX Labs, Inc.",1.0,2017.0
3,627.0,US,1,2013,"Brooklyn, NY",Gelf Magazine,4.0,2009.0
4,627.0,US,11,2015,San Francisco Bay Area,Betabrand,5.0,2013.0
0,628.0,US,4,2002,"New York City, NY","Powerhead Games, LLC",1.0,2000.0
1,628.0,US,Present,Present,"Santa Monica, CA",Naughty Dog,4.0,2007.0
2,628.0,US,4,2007,"Santa Monica, CA",Treyarch,8.0,2002.0
3,628.0,US,Present,2007,"Santa Monica, CA",Activision,,2002.0
4,628.0,US,Present,2000,"Glen Rock, NJ",Big Panda House,,1997.0
0,629.0,US,Present,2014,San Francisco Bay Area,Infosys,,2009.0
1,629.0,US,Present,Present,San Francisco Bay Area,Infosys,,2014.0
2,629.0,GB,Present,2006,,BT - Global Services,,2004.0
3,629.0,US,Present,2004,,Cisco Systems,,2002.0
4,629.0,GB,Present,2009,"London, United Kingdom",BT Media and Broadcast,,2006.0
0,630.0,US,Present,Present,San Francisco Bay Area,Google,1.0,2008.0
1,630.0,IN,1,2003,"Mumbai Area, India",Rave Technologies,8.0,2000.0
2,630.0,IN,12,2007,"Bengaluru Area, India",OAT Systems,1.0,2003.0
0,632.0,AU,11,2011,"Sydney, Australia",Pharmaxis Ltd,8.0,2011.0
1,632.0,GB,Present,Present,,Norgine,5.0,2014.0
2,632.0,US,8,2012,Waterford,EirGen Pharma,6.0,2012.0
3,632.0,GB,5,2014,neath port talbot,Neath Port Talbot County Borough Council,9.0,2012.0
4,632.0,GB,Present,2011,,Norgine LTD,,2006.0
5,632.0,AU,11,2011,"Sydney, Australia",Pharmaxis Ltd,8.0,2011.0
6,632.0,GB,Present,Present,,Norgine,5.0,2014.0
7,632.0,US,8,2012,Waterford,EirGen Pharma,6.0,2012.0
8,632.0,GB,5,2014,neath port talbot,Neath Port Talbot County Borough Council,9.0,2012.0
9,632.0,GB,Present,2011,,Norgine LTD,,2006.0
0,633.0,US,9,2012,,SC&H Group,10.0,2010.0
1,633.0,US,5,2008,,TESSCO Technologies,6.0,2007.0
2,633.0,US,Present,Present,"Baltimore, Maryland Area",PANDORA A/S,8.0,2015.0
3,633.0,US,8,2015,Washington D.C. Metro Area,PwC,9.0,2012.0
4,633.0,US,9,2010,,SC&H Group,5.0,2008.0
0,634.0,US,Present,2006,,Federal Reserve Bank of San Francisco,,1998.0
1,634.0,US,1,2012,,CafePress.com,8.0,2007.0
2,634.0,US,Present,Present,"Emeryville, CA",Peet's Coffee & Tea,1.0,2012.0
3,634.0,US,8,2007,,PlanetMagpie IT Consulting Bay Area,9.0,2006.0
0,635.0,US,5,2014,Mountain View,LinkedIn,7.0,2012.0
1,635.0,US,Present,Present,,Google,8.0,2015.0
2,635.0,US,7,2012,,Yahoo!,9.0,2011.0
3,635.0,US,8,2015,Mountain View,Tango Me,5.0,2014.0
4,635.0,US,9,2011,,Argonne National Laboratory,1.0,2011.0
0,636.0,US,4,2011,"San Jose, CA",PACE Incorporated,3.0,2011.0
1,636.0,US,5,2009,,Dolby Laboratories,2.0,2009.0
2,636.0,US,3,2011,"Santa Cruz, CA","Plantronics,  Inc",12.0,2010.0
3,636.0,US,5,2013,San Mateo,Avistar Communications,1.0,2012.0
4,636.0,US,Present,Present,"Sunnyvale,CA",Internet Private Store,6.0,2009.0
0,637.0,US,Present,Present,,Schering Plough Corporation,,2009.0
1,637.0,US,1,2007,,Abbott,1.0,2005.0
2,637.0,US,12,2008,,Comsys,1.0,2007.0
3,637.0,US,Present,2004,,Genentech,,2003.0
0,638.0,US,1,2011,,GE Healthcare,1.0,2008.0
1,638.0,US,2,2007,,GE Life,11.0,2004.0
2,638.0,GB,1,2008,,Lloyds TSB,3.0,2007.0
3,638.0,US,1,2014,,Alvarez & Marsal,1.0,2011.0
4,638.0,GB,Present,Present,"London, United Kingdom",EY,1.0,2014.0
0,639.0,US,Present,Present,,Toptal,3.0,2014.0
1,639.0,PL,5,2014,"Poznan, Greater Poland District, Poland",Samsung Poland R&D Center,6.0,2013.0
2,639.0,PL,5,2013,"Poznan, Greater Poland District, Poland",ATREM,7.0,2012.0
3,639.0,,7,2016,,Alt Tab - World's best developers on demand,6.0,2015.0
4,639.0,PL,10,2013,"Poznan, Greater Poland District, Poland",Freelance cooperation with Sputnik Software Sp. z o.o.,11.0,2012.0
0,640.0,US,Present,Present,"San Francisco, CA","Lightbend, Inc.",6.0,2015.0
1,640.0,US,4,2014,"Evanston, IL",Northwestern University,,2001.0
2,640.0,US,Present,2016,"Cambridge, MA",Boston Area Scala Enthusiasts & Northeast Scala Symposium,,2009.0
3,640.0,US,5,2015,Greater Boston Area,McGraw-Hill Education,7.0,2014.0
4,640.0,,Present,Present,http://www.scalawags.tv,Scalawags podcast,2.0,2014.0
0,641.0,NL,6,2011,"Weesp Area, Netherlands",Abbott,8.0,2007.0
1,641.0,NL,8,2013,"Nijmegen Area, Netherlands",Synthon,11.0,2011.0
2,641.0,NL,11,2011,"Weesp area, Netherlands",Homage Pharma,6.0,2011.0
3,641.0,NL,Present,Present,"Haarlem Area, Netherlands",Teva Pharmachemie,9.0,2013.0
4,641.0,US,Present,Present,,Free lance,6.0,2009.0
0,642.0,US,12,2012,"San Mateo, Ca",Tribal Technologies,11.0,2010.0
1,642.0,US,Present,Present,"Menlo Park, CA",Facebook,9.0,2015.0
2,642.0,,8,2015,,Redbeacon,12.0,2012.0
0,643.0,US,Present,Present,Greater Los Angeles Area,MatthewWardenaar.com,,2006.0
1,643.0,US,12,2016,"Cupertino, Ca.",Apple,8.0,2016.0
2,643.0,US,Present,Present,"Palo Alto, Ca.",Cyanogen,1.0,2017.0
3,643.0,US,7,2015,San Francisco,Turo (RelayRides),8.0,2014.0
4,643.0,US,8,2016,"Cupertino, California",Apple,8.0,2015.0
0,644.0,US,5,2016,"1000 enterprise way, sunnyvale, CA",Motorola,5.0,2014.0
1,644.0,US,3,2014,"Fremont, CA",Lab2Apps,1.0,2013.0
2,644.0,US,5,2014,"Santa Clara, CA",Intel Corporation,3.0,2014.0
3,644.0,US,Present,Present,,TCL Research America,,
4,644.0,US,Present,Present,"2870 Zanker Rd, Suite 200 San Jose, CA 95134 USA",TCL,5.0,2016.0
0,645.0,US,6,2013,San Francisco Bay Area,Bonnier R&D,7.0,2012.0
1,645.0,US,7,2016,"San Francisco, CA",Uber,7.0,2015.0
2,645.0,US,6,2015,,Independent,5.0,2007.0
3,645.0,US,4,2015,San Francisco Bay Area,Nextbit Systems,7.0,2013.0
4,645.0,US,Present,Present,San Francisco Bay Area,Uber,7.0,2016.0
0,647.0,GB,Present,2009,,PFJ,,2007.0
1,647.0,GB,11,2016,"London, United Kingdom",Marin Software,4.0,2014.0
2,647.0,GB,Present,Present,"London, United Kingdom",Adthena,12.0,2016.0
3,647.0,GB,3,2014,"London, United Kingdom",Marin Software,1.0,2013.0
4,647.0,GB,1,2013,London,PFJ,10.0,2007.0
0,648.0,US,3,2011,"Microsoft, Redmond WA",Microsoft,1.0,2011.0
1,648.0,,Present,Present,Bothell WA,AT&T,3.0,2016.0
2,648.0,US,7,2011,"Seattle, WA",Produxs,5.0,2011.0
3,648.0,US,1,2016,"Bellevue, WA",Puget Sound Energy,5.0,2015.0
4,648.0,US,4,2015,AT&T - Bothell WA,AT&T Mobility,8.0,2011.0
5,648.0,US,Present,Present,,New London CT,,
0,649.0,US,10,2013,,"Blue	Canopy	Group,	LLC",5.0,2013.0
1,649.0,US,6,2014,,Xavient Information Systems,10.0,2013.0
2,649.0,US,Present,Present,,Xavient Information Systems,6.0,2014.0
3,649.0,US,5,2011,,Stevens Institute of Technology,1.0,2011.0
4,649.0,US,5,2013,,VolantSoft Inc,7.0,2012.0
0,650.0,NL,Present,Present,"Amsterdam Area, Netherlands",Accenture,8.0,2012.0
1,650.0,ZA,4,2007,"Kosmosdal, South Africa",GijimaAst,10.0,2003.0
2,650.0,ZA,8,2007,"Johannesburg Area, South Africa",Netcure,5.0,2006.0
3,650.0,ZA,7,2012,"Johannesburg Area, South Africa",IBM,8.0,2008.0
4,650.0,ZA,9,2003,"Centurion, South Africa",Condyn,9.0,2001.0
0,651.0,US,12,2013,,University of Utah,8.0,2009.0
1,651.0,US,3,2015,"Sunnyvale, CA",Yahoo,1.0,2014.0
2,651.0,IN,8,2009,"Bangalore, India",Yahoo!,6.0,2009.0
3,651.0,US,9,2012,Santa Clara - Great America Parkway,Yahoo!,5.0,2012.0
4,651.0,US,Present,Present,Greater Salt Lake City Area,Eastwind Networks,3.0,2015.0
5,651.0,,Present,Present,,Salt Lake Valley Science and Engineering Fair,3.0,2009.0
0,652.0,US,10,2009,,Vertex Pharmaceuticals,7.0,2008.0
1,652.0,US,8,2010,,Molecular Insight Pharmaceuticals,10.0,2009.0
2,652.0,US,4,2017,"Cambridge, Massachusetts",Merrimack,11.0,2015.0
3,652.0,US,Present,Present,,"TESARO, Inc.",4.0,2017.0
4,652.0,US,1,2015,,Novartis Institutes for BioMedical Research (NIBR),9.0,2010.0
0,653.0,US,5,2013,,Infinera,1.0,2012.0
1,653.0,US,1,2012,,Infinera,6.0,2004.0
2,653.0,US,3,2017,"Redmond, WA",Microsoft,6.0,2013.0
3,653.0,US,6,2004,,Ciena,4.0,2001.0
0,654.0,US,10,2013,"Austin, Texas",On-X Life Technologies,2.0,2011.0
1,654.0,US,4,2016,"Austin, Texas",Asuragen,2.0,2015.0
2,654.0,US,2,2015,"Austin, Texas",Asuragen,2.0,2014.0
3,654.0,US,Present,Present,"Austin, Texas",Abbott,1.0,2017.0
4,654.0,US,1,2017,"Austin, Texas Area",St. Jude Medical,5.0,2016.0
0,655.0,US,Present,2009,,Intel,,2006.0
1,655.0,US,Present,Present,San Francisco Bay Area,Lynx Software Technologies (formerly LynuxWorks),3.0,2015.0
2,655.0,US,5,2013,San Francisco Bay Area,AnchorFree,10.0,2011.0
3,655.0,IN,10,2011,,Auriga,10.0,2009.0
4,655.0,US,3,2015,San Francisco Bay Area,Lynx Software Technologies (formerly LynuxWorks),6.0,2013.0
0,656.0,US,12,2014,"Cleveland/Akron, Ohio Area",Case Western Reserve University,12.0,2013.0
1,656.0,US,Present,Present,"Brecksville, OH",Northeast Ohio Fit,4.0,2005.0
2,656.0,US,Present,Present,,PPD,3.0,2016.0
3,656.0,US,4,2015,"Strongsville, OH","IMARC Research, Inc.",1.0,2015.0
4,656.0,US,3,2016,"Cleveland/Akron, Ohio Area",Complion,4.0,2015.0
5,656.0,US,Present,2005,,Northeast Ohio Fit,,2005.0
0,657.0,TH,7,2014,Thailand,International Paper Thailand,6.0,2011.0
1,657.0,,Present,Present,Southeast Asia,International Paper Asia,8.0,2014.0
2,657.0,CN,5,2011,,International Paper Asia (Shanghai),2.0,2005.0
3,657.0,,Present,Present,"Thailand, Malaysia, Singapore",United Creation Packaging Solutions  ,7.0,2016.0
4,657.0,,1,2005,,International Paper Pacific Millennium (Thailand),7.0,2000.0
0,659.0,US,9,2007,"Wilmington, NC",PPD,4.0,2006.0
1,659.0,US,Present,Present,"raleigh, north carolina",PRA,8.0,2013.0
2,659.0,US,4,2006,"Wilmington, North Carolina Area",PPD,3.0,2005.0
3,659.0,US,11,2010,"Wilmington, North Carolina Area",Quintiles,10.0,2008.0
4,659.0,US,1,2013,,Quintiles,11.0,2010.0
0,660.0,US,4,2013,"Pasadena, CA",California Institute of Technology,1.0,2010.0
1,660.0,US,3,2016,San Francisco,Uber,4.0,2015.0
2,660.0,US,4,2015,"San Francisco, California",Uber,1.0,2015.0
3,660.0,US,1,2015,San Francisco Bay Area,Twitter,7.0,2013.0
4,660.0,US,Present,Present,"San Francisco, California",Uber,3.0,2016.0
0,661.0,US,8,2014,"Berkeley, CA",NeuroFocus,8.0,2010.0
1,661.0,US,Present,Present,San Francisco,"Williams-Sonoma, Inc.",12.0,2014.0
2,661.0,US,10,2009,San Francisco,Artisan Confections Company,6.0,2006.0
3,661.0,US,9,2005,,"Seiler & Company, LLP",12.0,2004.0
4,661.0,US,6,2006,San Francisco,"Grant Thornton, LLP",9.0,2005.0
0,662.0,US,Present,Present,San Francisco Bay Area,KPMG,9.0,2015.0
1,662.0,US,Present,Present,San Francisco Bay Area,KPMG LLP,3.0,2010.0
2,662.0,US,9,2007,"Richmond, Virginia Area",KPMG US,5.0,2004.0
3,662.0,AU,5,2004,"Sydney, Australia",KPMG Australia,12.0,2002.0
4,662.0,US,3,2010,Greater New York City Area,KPMG International,10.0,2007.0
0,663.0,US,3,2006,,Morgan Stanley,4.0,2005.0
1,663.0,US,12,2009,,Wells Fargo,10.0,2006.0
2,663.0,US,3,2005,,Wells Fargo,10.0,2004.0
3,663.0,US,Present,Present,"Irvine, CA",Undisclosed,12.0,2009.0
4,663.0,US,10,2006,,State Street,4.0,2006.0
0,664.0,AU,12,2007,,Synplicity,7.0,2001.0
1,664.0,US,8,2016,,Intuitive Surgical,4.0,2014.0
2,664.0,US,Present,Present,,Intuitive Surgical,8.0,2016.0
3,664.0,US,11,2010,,Yahoo!,12.0,2007.0
4,664.0,US,12,2013,,Microsoft,11.0,2010.0
0,666.0,US,Present,2016,"Sunnyvale, California",Hewlett-Packard Enterprise,,2014.0
1,666.0,US,Present,2005,San Francisco,Totality,,2000.0
2,666.0,US,Present,2014,"Mountain View, California",Intuit,,2012.0
3,666.0,US,Present,Present,"Campbell, California",Hightail,,2016.0
4,666.0,US,Present,2012,San Francisco,Verizon Business,,2005.0
0,667.0,US,Present,Present,"Blue Ridge, Georgia",Treo Blue Ridge,2.0,2017.0
1,667.0,US,4,2012,Greater Atlanta Area,Bank of America,8.0,2007.0
2,667.0,US,2,2015,Greater Atlanta Area,Bank of America,3.0,2014.0
