,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
4,835.0,,4,2011,"Austin, Texas Area",University of Texas at Austin,8.0,2008.0
0,836.0,,Present,Present,San Francisco Bay Area,Salesforce,3.0,2015.0
1,836.0,,2,2015,Greater Seattle Area,Hitachi Data Systems,3.0,2014.0
2,836.0,,2,2014,Greater Seattle Area,Amazon.com,1.0,2011.0
3,836.0,,7,2009,,Advanced Research Lab,10.0,2008.0
4,836.0,,12,2010,Dallas/Fort Worth Area,SNRLabs Corporation,7.0,2009.0
0,837.0,,Present,Present,San Francisco Bay Area,Sledgehammer Games,9.0,2016.0
1,837.0,,8,2012,"Amsterdam Area, Netherlands",Little Chicken Game Company,8.0,2011.0
2,837.0,,8,2016,Greater Chicago Area,Play Mechanix,8.0,2013.0
3,837.0,,5,2013,Greater Chicago Area,Play Mechanix,1.0,2013.0
0,838.0,,8,2016,"Malmo, Sweden",IKEA Group,7.0,2015.0
1,838.0,,Present,Present,"Malmo, Sweden",IKEA Group,9.0,2016.0
2,838.0,,3,2014,"Shanghai City, China",IKEA Retail China,,2010.0
3,838.0,,4,2010,,IKEA,,2007.0
4,838.0,,6,2015,"Shanghai City, China",IKEA Retail China,3.0,2014.0
0,840.0,,12,2013,,University of Utah School of Medicine,4.0,2012.0
1,840.0,,4,2012,,Brigham Young University,8.0,2009.0
2,840.0,,1,2012,,Antarctica Logistics and Expeditions,5.0,2009.0
3,840.0,,Present,Present,,University of Utah School of Medicine,1.0,2014.0
0,841.0,,11,2004,,WELCO CGI GAS TECHNOLOGIES,8.0,2002.0
1,841.0,,11,2008,,New York Blood Center,1.0,2005.0
2,841.0,,8,2002,,LILY TRANSPORTATION INC,6.0,2001.0
3,841.0,,Present,Present,,New York Blood Center,12.0,2008.0
4,841.0,,6,2000,,NITTA CASINGS INC,10.0,1997.0
0,842.0,,6,2014,Dublin,Al-Noor Islamic School,9.0,2013.0
1,842.0,,6,2015,"ZÃ¼rich Area, Switzerland",ProVi Swiss,5.0,2015.0
2,842.0,,1,2015,Ireland,Aisling Nursery and Montessori School,9.0,2014.0
3,842.0,,Present,Present,,CPL/ Facebook,6.0,2016.0
4,842.0,,5,2015,,Word Perfect Translations,5.0,2014.0
5,842.0,,Present,Present,,Islamic Relief Worldwide,,
6,842.0,,Present,Present,,Soccer Against Racism Ireland,,
7,842.0,,Present,Present,,Diverse City Soccer,,
0,843.0,,Present,Present,"San Luis Obispo, California Area",Amazon.com,7.0,2014.0
1,843.0,,4,2013,"Mountain View, CA",Study.com,11.0,2010.0
2,843.0,,7,2014,San Francisco Bay Area,ClearSlide,3.0,2014.0
3,843.0,,11,2010,"Foster City, CA",Study.com,6.0,2006.0
4,843.0,,6,2006,"San Luis Obispo, California Area",Study.com,6.0,2004.0
5,843.0,,5,2012,,St. Bernard Project,5.0,2012.0
6,843.0,,Present,Present,,OneBrick.org,3.0,2011.0
7,843.0,,3,2013,,St. Bernard Project,3.0,2013.0
0,844.0,,Present,Present,The Edge of Reality,Nettitude Group,2.0,2015.0
1,844.0,,12,2007,,MWR InfoSecurity,7.0,2007.0
2,844.0,,12,2014,Saturn,IRM PLC,10.0,2011.0
3,844.0,,12,2010,,Sophos,1.0,2008.0
4,844.0,,12,2014,,Electric Cat,12.0,2010.0
0,845.0,,12,2016,"Vienna, Vienna, Austria",Deloitte Financial Services ,1.0,2016.0
1,845.0,,4,2012,,Ithuba Capital AG,12.0,2011.0
2,845.0,,Present,Present,"Vienna, Vienna, Austria",Deloitte Financial Services,1.0,2017.0
3,845.0,,8,2013,,Erste Group Bank AG,2.0,2013.0
4,845.0,,12,2015,"Vienna, Vienna, Austria",Deloitte Financial Services ,9.0,2014.0
0,846.0,,Present,2009,"Neuroscience Center, Sweden","Sweden, Lund University",,2005.0
1,846.0,,7,2013,"Geneva Area, Switzerland",Merck Serono,1.0,2009.0
2,846.0,,12,2008,,Other Professional Activities,1.0,2004.0
3,846.0,,Present,Present,"Geneva Area, Switzerland",Covance,6.0,2016.0
4,846.0,,Present,Present,"Geneva Area, Switzerland",Covance,8.0,2013.0
0,847.0,,12,2012,,Spoke LLC,9.0,2010.0
1,847.0,,10,2009,,Toledo Webshop,5.0,2009.0
2,847.0,,Present,Present,"Mission Viejo, CA",FireForge,6.0,2013.0
3,847.0,,6,2013,"Chalfont, PA","AWeber Communications, Inc.",12.0,2012.0
4,847.0,,9,2010,,Grocery Heroes,10.0,2009.0
0,848.0,,4,2010,,ROX Medical,9.0,2008.0
1,848.0,,8,2016,,Cangene Corporation,2.0,2013.0
2,848.0,,2,2013,,"Inspiration Biopharmaceuticals, Inc",11.0,2012.0
3,848.0,,11,2012,,"Inspiration Biopharmaceuticals, Inc",4.0,2010.0
4,848.0,,Present,Present,,Cerus,8.0,2016.0
0,849.0,,9,2011,,SAGEMCOM,3.0,2010.0
1,849.0,,4,2016,"Munich Area, Germany",Dialog Semiconductor,6.0,2013.0
2,849.0,,3,2010,Tunisie,Codintek,9.0,2008.0
3,849.0,,5,2013,"Bruges Area, Belgium",Alten Belgium - Philips TV division,9.0,2011.0
4,849.0,,Present,Present,"Munich Area, Germany",Dialog Semiconductor,4.0,2016.0
0,850.0,,Present,Present,"Cambridge, United Kingdom",Jagex,1.0,2013.0
1,850.0,,1,2013,,Crytek,5.0,2009.0
2,850.0,,6,2009,,Rockstar Leeds,5.0,2008.0
3,850.0,,8,2008,,Pivotal Games,5.0,1985.0
4,850.0,,Present,1996,,Microprose,,1990.0
0,851.0,,Present,Present,,Olympus,,2008.0
1,851.0,,Present,Present,,Olympus America,,2008.0
2,851.0,,7,2007,,Stryker,7.0,2006.0
3,851.0,,Present,2008,,Foxhollow Technologies,,2007.0
4,851.0,,Present,2008,,FoxHollow Technology,,2007.0
0,852.0,,11,2011,"San Jose, CA",ProteinSimple,5.0,2011.0
1,852.0,,8,2014,"Alameda, CA",Celera,11.0,2011.0
2,852.0,,2,2017,"Redwood City, CA",Ingenuity Web Apps,10.0,2014.0
3,852.0,,Present,Present,San Francisco Bay Area,"Zymergen, Inc.",2.0,2017.0
4,852.0,,12,2010,"Mill Valley, CA",Comcast,9.0,2009.0
0,853.0,,1,2003,,IMS MAXIMS,11.0,1998.0
1,853.0,,7,2013,,IMS MAXIMS,12.0,2010.0
2,853.0,,Present,Present,"Milton Keynes, United Kingdom",Volkswagen Group UK Ltd,1.0,2014.0
3,853.0,,12,2010,,IMS MAXIMS,1.0,2003.0
4,853.0,,1,2014,"Milton Keynes, United Kingdom",Volkswagen Group UK Ltd,7.0,2013.0
0,854.0,,7,2015,Washington D.C. Metro Area,Savers,7.0,2014.0
1,854.0,,7,2014,"Vienna, VA",Ratner Companies,6.0,2011.0
2,854.0,,Present,Present,"Tulsa, OK",ConsumerAffairs,11.0,2016.0
3,854.0,,Present,Present,"Tulsa, Oklahoma Area","Paws on Pearl,LLC",11.0,2015.0
4,854.0,,Present,Present,"Tulsa, Oklahoma Area",Wholemade Meal Co.,10.0,2016.0
0,857.0,,Present,Present,"Santa Clara, CA",Intel Corporation,12.0,2015.0
1,857.0,,4,2014,"Santa Clara, CA",Marvell Semiconductor,10.0,2012.0
2,857.0,,5,2011,,Michigan Technological University,8.0,2008.0
3,857.0,,11,2012,"Santa Clara, CA",Marvell Semiconductor,2.0,2012.0
4,857.0,,12,2015,"Santa Clara, California",Marvell Semiconductor,4.0,2014.0
0,859.0,,7,2010,"Pune Area, India",Infosys,9.0,2008.0
1,859.0,,1,2012,Newark NJ,NJIT,5.0,2011.0
2,859.0,,8,2014,Roseville CA,"Revenue Solutions, Inc.",3.0,2012.0
3,859.0,,Present,Present,San Francisco Bay Area,Moody's Analytics,8.0,2014.0
4,859.0,,5,2011,Newark NJ,"S&A Technologies, LLC",9.0,2010.0
0,860.0,,1,2016,San Mateo California,Predictofy,12.0,2014.0
